Regione-Provincia_Autonoma;Somme Pasti;Somme Formazione;Accantonamenti;Somme Totali
Abruzzo;7909,02;57147,33;;65056,36
Basilicata;2479,47;49952,45;;52431,92
Calabria;8291,65;16519,19;;24810,84
Campania;28064,16;19717,62;;47781,78
Emilia Romagna;30970,58;71699,16;;102669,74
Friuli Venezia Giulia;7910,46;0,00;;7910,46
Lazio;23827,16;20339,84;;44167,00
Liguria;8644,77;21022,44;;29667,22
Lombardia;61934,52;6659,13;;68593,64
Marche;6250,19;20939,03;;27189,22
Molise;949,23;36502,50;;37451,73
Bolzano;;;12898,97;
Trento;;;23894,00;
Piemonte;32885,83;78727,99;;111613,82
Puglia;13960,52;41010,92;;54971,44
Sardegna;9906,68;16126,09;;26032,77
Sicilia;19191,15;39284,20;;58475,35
Toscana;28760,17;23781,42;;52541,59
Umbria;6534,51;0,00;;6534,51
Valle D'Aosta;1169,35;13984,97;;15154,32
Veneto;26049,69;31280,65;;57330,33
Totale;325689,09;564694,94;36792,98;890384,02
